OBJECTID,FOLIO,TRUE_SITE_ADDR,TRUE_SITE_CITY,TRUE_SITE_ZIP_CODE,DOR_CODE_CUR,DOR_DESC,CONDO_FLAG,PARENT_FOLIO,PRIMARY_ZONE,BEDROOM_COUNT,YEAR_BUILT,LOT_SIZE,BUILDING_HEATED_AREA,UNIT_COUNT,ASSESSMENT_YEAR_CUR,zip
198149,2050120050010,10801 SW 67 AVE,Pinecrest,33156-0000,0081,VACANT RESIDENTIAL : VACANT LAND,N,,2300,0,0,44866,0,0,2026,33156
198150,2050120050011,10891 SW 67 AVE,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1956,45302,1955,1,2026,33156
198151,2050120050020,6605 SW 109 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,9,2025,59677,9837,1,2026,33156
198152,2050120050030,6505 SW 109 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,1967,40510,4722,1,2026,33156
198153,2050120050040,6465 SW 109 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,1995,38332,6759,1,2026,33156
198154,2050120050050,6421 SW 109 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,1953,38332,3811,1,2026,33156
198155,2050120050060,6401 SW 109 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,1991,38332,5328,1,2026,33156
198156,2050120050070,6363 SW 109 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1954,38332,3663,1,2026,33156
198157,2050120050080,6347 SW 109 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,3,1952,38332,4241,1,2026,33156
198158,2050120050090,6301 SW 109 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,3,1951,33976,3967,1,2026,33156
198159,2050120050100,6290 SW 108 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,3,1953,33541,4901,1,2026,33156
198160,2050120050110,10851 SW 63 AVE,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,2002,41382,7464,1,2026,33156
198161,2050120050120,10915 SW 63 AVE,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,2013,41382,5866,1,2026,33156
198162,2050120050130,6295 SW 110 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,2018,35719,7946,1,2026,33156
198163,2050120050140,6265 SW 110 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,2018,39639,7795,1,2026,33156
198164,2050120050150,10901 SW 65 AVE,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,3,1963,35719,3246,1,2026,33156
198165,2050120050159,6460 SW 109 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1982,38986,4097,1,2026,33156
198166,2050120050160,6424 SW 109 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,1982,38986,4974,1,2026,33156
198167,2050120050170,6400 SW 109 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,4,1956,38768,2741,1,2026,33156
198168,2050120050180,6350 SW 109 ST,Pinecrest,33156-0000,0081,VACANT RESIDENTIAL : VACANT LAND,N,,2300,0,0,38768,0,0,2026,33156
198169,2050120050190,6342 SW 109 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,2008,38768,9101,1,2026,33156
198170,2050120050200,6300 SW 109 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,6,1955,33541,6022,1,2026,33156
198171,2050120050210,6301 SW 110 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,1996,33541,5745,1,2026,33156
198172,2050120050220,6335 SW 110 ST,Pinecrest,33156-0000,0101,RESIDENTIAL - SINGLE FAMILY : 1 UNIT,N,,2300,5,1955,38768,4540,1,2026,33156
